origem,destino,distancia_m
0,71,40.009
0,72,24.862
1,2,45.584
1,15,92.124
1,95,83.715
2,18,93.950
3,4,73.432
3,6,62.069
4,5,69.043
4,7,61.010
5,8,64.005
5,26,51.257
6,7,80.067
6,9,67.231
7,8,69.174
7,10,63.532
8,29,48.393
9,10,84.301
9,95,52.170
10,11,113.993
10,12,56.229
11,14,55.182
11,29,58.943
11,32,55.288
12,13,46.606
12,15,83.671
12,95,89.332
13,14,64.447
13,16,86.988
14,17,86.456
14,34,63.458
15,16,57.422
15,18,38.631
16,17,53.697
17,19,37.165
17,36,76.555
18,19,110.843
18,21,66.751
19,22,61.810
20,21,51.394
20,23,54.194
21,22,111.014
21,24,57.491
22,25,57.411
22,38,85.956
23,24,50.542
24,25,107.419
25,40,94.468
26,27,63.169
26,29,63.602
27,28,30.604
27,42,52.643
28,31,61.163
28,43,60.023
29,30,52.887
30,31,48.868
30,32,58.966
31,33,59.702
31,45,61.264
32,33,54.115
32,34,56.874
33,35,59.432
33,47,61.121
34,35,54.125
34,36,91.413
35,37,92.511
35,49,61.190
36,37,52.396
36,38,90.261
37,39,86.198
37,51,58.584
38,39,52.497
38,40,54.754
39,41,50.515
39,53,58.536
40,41,52.119
41,55,58.405
42,43,76.128
43,44,50.808
43,45,58.981
44,46,56.428
44,56,55.841
44,57,124.805
45,46,50.728
45,47,61.420
46,48,60.234
46,58,56.409
47,48,54.870
47,49,59.855
48,50,60.084
48,59,45.674
49,50,54.507
49,51,93.270
50,52,99.688
50,61,40.992
51,52,62.277
51,53,79.807
52,54,73.409
52,64,47.767
53,54,62.359
53,55,48.184
54,65,37.600
55,66,94.021
56,69,127.906
57,69,51.508
57,70,71.741
57,94,53.730
58,59,62.420
58,94,63.694
59,61,57.912
60,63,55.381
60,72,59.910
60,94,69.639
61,62,21.892
62,63,71.480
62,64,101.107
63,73,56.018
63,75,110.244
64,65,68.616
64,75,98.444
65,66,43.701
65,76,114.484
66,67,32.642
68,70,91.121
70,71,54.707
70,80,54.267
71,82,55.436
71,94,70.701
72,73,55.367
72,84,51.610
73,74,100.753
73,86,43.587
74,75,50.926
74,89,24.542
75,76,58.032
76,77,60.142
77,77,0.000
77,90,49.352
77,93,89.343
78,79,96.785
78,80,66.510
79,81,65.585
80,81,93.878
80,82,54.574
81,83,56.700
82,83,92.199
82,84,62.802
83,85,62.002
84,85,88.889
84,86,54.075
85,88,51.508
86,87,37.337
86,89,94.957
87,88,50.018
87,91,113.295
88,92,115.032
89,90,18.308
90,91,40.911
91,92,45.889
92,93,50.526
