origem,destino,distancia_m,numero_de_casas
0,71,40.009,4
0,72,24.862,3
1,2,45.584,0
1,15,92.124,6
1,95,83.715,9
2,18,93.95,9
3,4,73.432,8
3,6,62.069,12
4,5,69.043,10
4,7,61.01,8
5,8,64.005,8
5,26,51.257,7
6,7,80.067,13
6,9,67.231,10
7,8,69.174,10
7,10,63.532,8
8,29,48.393,7
9,10,84.301,13
9,95,52.17,9
10,11,113.993,17
10,12,56.229,9
11,14,55.182,7
11,29,58.943,7
11,32,55.288,10
12,13,46.606,9
12,15,83.671,14
12,95,89.332,17
13,14,64.447,9
13,16,86.988,13
14,17,86.456,17
14,34,63.458,10
15,16,57.422,9
15,18,38.631,5
16,17,53.697,15
17,19,37.165,5
17,36,76.555,16
18,19,110.843,28
18,21,66.751,17
19,22,61.81,18
20,21,51.394,10
20,23,54.194,10
21,22,111.014,34
21,24,57.491,13
22,25,57.411,10
22,38,85.956,27
23,24,50.542,8
24,25,107.419,34
25,40,94.468,21
26,27,63.169,14
26,29,63.602,10
27,28,30.604,1
27,42,52.643,4
28,31,61.163,9
28,43,60.023,2
29,30,52.887,12
30,31,48.868,8
30,32,58.966,6
31,33,59.702,6
31,45,61.264,10
32,33,54.115,6
32,34,56.874,8
33,35,59.432,7
33,47,61.121,7
34,35,54.125,8
34,36,91.413,18
35,37,92.511,16
35,49,61.19,13
36,37,52.396,4
36,38,90.261,19
37,39,86.198,11
37,51,58.584,7
38,39,52.497,8
38,40,54.754,7
39,41,50.515,6
39,53,58.536,10
40,41,52.119,10
41,55,58.405,9
42,43,76.128,14
43,44,50.808,8
43,45,58.981,7
44,46,56.428,9
44,56,55.841,12
44,57,124.805,25
45,46,50.728,7
45,47,61.42,7
46,48,60.234,8
46,58,56.409,9
47,48,54.87,7
47,49,59.855,9
48,50,60.084,9
48,59,45.674,4
49,50,54.507,8
49,51,93.27,17
50,52,99.688,16
50,61,40.992,5
51,52,62.277,8
51,53,79.807,9
52,54,73.409,8
52,64,47.767,6
53,54,62.359,10
53,55,48.184,10
54,65,37.6,5
55,66,94.021,8
56,69,127.906,20
57,69,51.508,7
57,70,71.741,8
57,94,53.73,2
58,59,62.42,5
58,94,63.694,8
59,61,57.912,4
60,63,55.381,4
60,72,59.91,5
60,94,69.639,4
61,62,21.892,2
62,63,71.48,7
62,64,101.107,15
63,73,56.018,8
63,75,110.244,21
64,65,68.616,13
64,75,98.444,17
65,66,43.701,7
65,76,114.484,22
66,67,32.642,1
68,70,91.121,19
70,71,54.707,7
70,80,54.267,8
71,82,55.436,7
71,94,70.701,8
72,73,55.367,8
72,84,51.61,6
73,74,100.753,10
73,86,43.587,5
74,75,50.926,4
74,89,24.542,1
75,76,58.032,3
76,77,60.142,3
77,77,0.0,0
77,90,49.352,3
77,93,89.343,15
78,79,96.785,15
78,80,66.51,11
79,81,65.585,6
80,81,93.878,24
80,82,54.574,7
81,83,56.7,1
82,83,92.199,21
82,84,62.802,8
83,85,62.002,5
84,85,88.889,20
84,86,54.075,8
85,88,51.508,7
86,87,37.337,4
86,89,94.957,20
87,88,50.018,10
87,91,113.295,23
88,92,115.032,23
89,90,18.308,3
90,91,40.911,7
91,92,45.889,10
92,93,50.526,6
