origem,destino,peso
0,71,108.57785714285714
0,72,77.75857142857143
1,2,32.56
1,15,185.80285714285714
1,95,239.79642857142858
2,18,247.10714285714286
3,4,212.45142857142858
3,6,284.33500000000004
4,5,249.3164285714286
4,7,203.57857142857142
5,8,205.71785714285716
5,26,176.61214285714286
6,7,317.1907142857143
6,9,248.02214285714285
7,8,249.41000000000003
7,10,205.38
8,29,174.56642857142856
9,10,320.21500000000003
9,95,217.26428571428573
10,11,421.42357142857145
10,12,220.16357142857143
11,14,179.41571428571427
11,29,182.10214285714287
11,32,239.49142857142857
12,13,213.29000000000002
12,15,339.765
12,95,403.80857142857144
13,14,226.03357142857143
13,16,322.13428571428574
14,17,401.75428571428574
14,34,245.32714285714286
15,16,221.0157142857143
15,18,127.59357142857144
16,17,338.355
17,19,126.54642857142858
17,36,374.6821428571429
18,19,639.1735714285714
18,21,387.6792857142857
19,22,404.15
20,21,236.71
20,23,238.71
21,22,759.2957142857143
21,24,301.065
22,25,241.00785714285715
22,38,601.3971428571429
23,24,196.10142857142858
24,25,756.7278571428571
25,40,487.4771428571429
26,27,325.12071428571426
26,29,245.43
27,28,41.86
27,42,117.60214285714287
28,31,223.68785714285713
28,43,82.87357142857144
29,30,277.7764285714286
30,31,194.90571428571428
30,32,162.11857142857144
31,33,162.64428571428573
31,45,243.76
32,33,158.65357142857144
32,34,200.62428571428572
33,35,182.45142857142858
33,47,183.65785714285715
34,35,198.66071428571428
34,36,425.295
35,37,386.07928571428573
35,49,303.70714285714286
36,37,117.42571428571429
36,38,444.47214285714284
37,39,281.57
37,51,181.84571428571428
38,39,197.49785714285713
38,40,179.11
39,41,156.08214285714286
39,53,241.81142857142856
40,41,237.22785714285715
41,55,221.71785714285716
42,43,334.37714285714287
43,44,196.29142857142858
43,45,182.12928571428571
44,46,220.3057142857143
44,56,279.88642857142855
44,57,589.1464285714286
45,46,176.2342857142857
45,47,183.87142857142857
46,48,203.02428571428572
46,58,220.29214285714286
47,48,179.19285714285715
47,49,222.75357142857143
48,50,222.91714285714286
48,59,112.62428571428572
49,50,198.93357142857144
49,51,406.62142857142857
50,52,391.2057142857143
50,61,129.28
51,52,204.48357142857142
51,53,237.005
52,54,212.435
52,64,154.11928571428572
53,54,244.54214285714286
53,55,234.41714285714286
54,65,126.85714285714286
55,66,227.15785714285715
56,69,491.3614285714286
57,69,176.79142857142858
57,70,211.24357142857144
57,94,78.37857142857143
58,59,144.5857142857143
58,94,205.49571428571429
59,61,121.36571428571429
60,63,119.55785714285715
60,72,142.79285714285714
60,94,129.74214285714285
61,62,55.637142857142855
62,63,191.05714285714288
62,64,372.2192857142857
63,73,200.01285714285714
63,75,498.74571428571426
64,65,309.01142857142855
64,75,410.31714285714287
65,66,171.215
65,76,521.7742857142857
66,67,43.31571428571429
68,70,445.08642857142854
70,71,179.07642857142858
70,80,198.76214285714286
71,82,179.59714285714284
71,94,210.50071428571428
72,73,199.54785714285714
72,84,156.8642857142857
73,74,271.9664285714286
73,86,131.13357142857143
74,75,116.37571428571428
74,89,37.53
75,76,101.45142857142858
76,77,102.95857142857143
77,77,0.0
77,90,95.25142857142856
77,93,363.81642857142856
78,79,369.13214285714287
78,80,267.50714285714287
79,81,166.84642857142856
80,81,547.0557142857143
80,82,178.98142857142858
81,83,60.50000000000001
82,83,485.8564285714286
82,84,204.85857142857142
83,85,144.28714285714287
84,85,463.4921428571429
84,86,198.625
85,88,176.79142857142858
86,87,106.66928571428572
86,89,467.82642857142855
87,88,235.72714285714287
87,91,540.925
88,92,542.1657142857143
89,90,73.07714285714286
90,91,169.22214285714287
91,92,232.77785714285716
92,93,156.09
