id,lat,lon
0,-21.610310393188484,-45.56505047778323
1,-21.60969734191896,-45.5711822509766
2,-21.60929489135743,-45.57126617431642
3,-21.61203002929688,-45.57065200805666
4,-21.611907958984386,-45.569953918457045
5,-21.611812591552752,-45.56929397583012
6,-21.611488342285167,-45.57079696655277
7,-21.611364364624027,-45.57003402709964
8,-21.61124229431153,-45.569377899169936
9,-21.61089515686037,-45.57092285156254
10,-21.610797882080085,-45.570114135742216
11,-21.61064910888673,-45.56902313232424
12,-21.61029624938966,-45.57018280029301
13,-21.61023712158203,-45.569736480712905
14,-21.61016082763673,-45.569118499755874
15,-21.609552383422844,-45.57030487060548
16,-21.6094551086426,-45.569759368896506
17,-21.6093921661377,-45.56924438476566
18,-21.60920906066896,-45.57036209106445
19,-21.609062194824237,-45.56930160522462
20,-21.608648300170906,-45.5709571838379
21,-21.608615875244144,-45.570461273193374
22,-21.60851287841796,-45.56939315795897
23,-21.60816383361817,-45.571014404296896
24,-21.60810279846193,-45.57052993774417
25,-21.608005523681648,-45.56949615478519
26,-21.611732482910167,-45.5688056945801
27,-21.611639022827152,-45.56820297241215
28,-21.611604690551765,-45.567909240722685
29,-21.611169815063484,-45.56891632080078
30,-21.611108779907244,-45.56840896606444
31,-21.61105537414551,-45.56793975830082
32,-21.61058425903321,-45.568492889404325
33,-21.61051940917969,-45.56797409057619
34,-21.610073089599616,-45.56851196289066
35,-21.609985351562496,-45.56799697875976
36,-21.60925102233888,-45.56851959228519
37,-21.609153747558604,-45.56802368164064
38,-21.608440399169925,-45.568565368652365
39,-21.60837936401368,-45.5680618286133
40,-21.607948303222653,-45.56858444213867
41,-21.607925415039062,-45.56808090209964
42,-21.611991882324222,-45.5678634643555
43,-21.6115131378174,-45.56733703613284
44,-21.611417770385756,-45.56685638427738
45,-21.610982894897468,-45.56735229492189
46,-21.610910415649425,-45.5668678283692
47,-21.61043167114259,-45.56739044189455
48,-21.61036872863771,-45.56686401367189
49,-21.60989379882813,-45.56741333007815
50,-21.6098289489746,-45.56689071655276
51,-21.609056472778324,-45.56746673583986
52,-21.608932495117205,-45.56687927246097
53,-21.608339309692397,-45.56749725341798
54,-21.60827255249024,-45.56689834594727
55,-21.60790634155274,-45.56751632690431
56,-21.61191749572754,-45.56680297851566
57,-21.61125183105468,-45.56566238403322
58,-21.61084938049317,-45.56632614135744
59,-21.61029624938966,-45.56642913818363
60,-21.610147476196293,-45.56565475463871
61,-21.60977935791017,-45.56649780273437
62,-21.6097526550293,-45.566287994384766
63,-21.60965156555177,-45.56560516357423
64,-21.608852386474616,-45.56642532348636
65,-21.60824394226075,-45.56653594970707
66,-21.60785675048829,-45.56660842895511
67,-21.6075668334961,-45.56665802001955
68,-21.61197090148925,-45.56486129760745
69,-21.611709594726577,-45.56558609008791
70,-21.611158370971687,-45.5649757385254
71,-21.610670089721687,-45.565040588378906
72,-21.61008834838868,-45.56507873535157
73,-21.60959053039552,-45.5650672912598
74,-21.60868644714355,-45.56500244140625
75,-21.608665466308604,-45.56549453735356
76,-21.60814666748045,-45.56543350219729
77,-21.60810279846193,-45.56485366821292
78,-21.611679077148445,-45.56439208984376
79,-21.61155700683595,-45.563465118408246
80,-21.611083984375018,-45.564456939697294
81,-21.610973358154308,-45.56355667114259
82,-21.610595703125007,-45.564510345459006
83,-21.6104679107666,-45.56362915039062
84,-21.610034942626964,-45.564582824707045
85,-21.60991859436035,-45.5637321472168
86,-21.60955238342286,-45.56464767456058
87,-21.609512329101573,-45.5642890930176
88,-21.609460830688487,-45.56380844116214
89,-21.60870552062988,-45.56476593017579
90,-21.608541488647475,-45.56478118896486
91,-21.608497619628924,-45.56438827514649
92,-21.60843467712403,-45.56394958496095
93,-21.60798263549805,-45.56399917602542
94,-21.610771179199233,-45.56571578979496
95,-21.610437393188484,-45.57103347778323
