order,vertex
0,72
1,0
2,72
3,84
4,86
5,89
6,74
7,89
8,90
9,91
10,92
11,91
12,87
13,86
14,73
15,86
16,87
17,88
18,85
19,84
20,82
21,83
22,81
23,83
24,85
25,88
26,92
27,93
28,77
29,90
30,77
31,76
32,65
33,76
34,75
35,74
36,73
37,72
38,73
39,63
40,75
41,64
42,65
43,54
44,65
45,66
46,67
47,66
48,55
49,41
50,55
51,53
52,54
53,52
54,51
55,53
56,39
57,41
58,40
59,25
60,40
61,38
62,39
63,37
64,51
65,49
66,50
67,52
68,64
69,62
70,61
71,59
72,58
73,59
74,48
75,47
76,45
77,46
78,58
79,94
80,60
81,94
82,57
83,94
84,71
85,82
86,80
87,81
88,79
89,78
90,80
91,70
92,68
93,70
94,57
95,69
96,56
97,44
98,46
99,48
100,50
101,61
102,62
103,63
104,60
105,72
106,0
107,71
