order,u,v,weight,cumulative_cost
0,72,0,77.75857142857143,77.75857142857143
1,60,72,142.79285714285714,220.55142857142857
2,63,60,119.55785714285716,340.10928571428576
3,62,63,191.05714285714288,531.1664285714287
4,64,62,372.2192857142857,903.3857142857144
5,52,64,154.11928571428572,1057.505
6,51,52,204.48357142857145,1261.9885714285715
7,49,51,406.62142857142857,1668.6100000000001
8,50,49,198.93357142857144,1867.5435714285716
9,48,50,222.9171428571429,2090.4607142857144
10,47,48,179.19285714285715,2269.6535714285715
11,48,47,179.19285714285715,2448.8464285714285
12,46,48,203.02428571428567,2651.8707142857143
13,58,46,220.2921428571429,2872.1628571428573
14,94,58,205.49571428571429,3077.6585714285716
15,57,94,78.37857142857143,3156.037142857143
16,94,57,78.37857142857143,3234.4157142857143
17,71,94,210.50071428571428,3444.9164285714287
18,82,71,179.59714285714284,3624.5135714285716
19,80,82,178.98142857142858,3803.4950000000003
20,81,80,547.0557142857143,4350.550714285715
21,79,81,166.84642857142856,4517.397142857144
22,78,79,369.13214285714287,4886.529285714287
23,80,78,267.50714285714287,5154.0364285714295
24,70,80,198.7621428571429,5352.798571428572
25,68,70,445.0864285714285,5797.885000000001
26,70,68,445.0864285714285,6242.97142857143
27,57,70,211.24357142857144,6454.215000000001
28,69,57,176.79142857142858,6631.00642857143
29,56,69,491.3614285714286,7122.367857142858
30,44,56,279.8864285714285,7402.254285714287
31,46,44,220.3057142857143,7622.560000000001
32,45,46,176.2342857142857,7798.794285714287
33,47,45,183.87142857142857,7982.665714285716
34,33,47,183.65785714285715,8166.323571428573
35,47,33,183.65785714285715,8349.98142857143
36,49,47,222.75357142857143,8572.735
37,35,49,303.70714285714286,8876.442142857144
38,37,35,386.0792857142857,9262.52142857143
39,39,37,281.57,9544.09142857143
40,38,39,197.4978571428572,9741.589285714286
41,40,38,179.11,9920.699285714287
42,38,40,179.11,10099.809285714287
43,36,38,444.4721428571429,10544.28142857143
44,38,36,444.4721428571429,10988.753571428573
45,22,38,601.3971428571429,11590.150714285715
46,25,22,241.00785714285715,11831.158571428572
47,24,25,756.7278571428571,12587.88642857143
48,21,24,301.065,12888.95142857143
49,24,21,301.065,13190.01642857143
50,23,24,196.10142857142856,13386.117857142859
51,20,23,238.71,13624.827857142858
52,21,20,236.71,13861.537857142857
53,18,21,387.6792857142857,14249.217142857144
54,21,18,387.6792857142857,14636.89642857143
55,22,21,759.2957142857143,15396.192142857144
56,19,22,404.15,15800.342142857144
57,18,19,639.1735714285714,16439.515714285713
58,19,18,639.1735714285714,17078.689285714285
59,17,19,126.54642857142858,17205.235714285714
60,36,17,374.6821428571429,17579.917857142857
61,37,36,117.42571428571428,17697.34357142857
62,51,37,181.84571428571428,17879.189285714285
63,52,51,204.48357142857145,18083.672857142858
64,64,52,154.11928571428572,18237.792142857143
65,62,64,372.2192857142857,18610.01142857143
66,63,62,191.05714285714288,18801.068571428572
67,60,63,119.55785714285716,18920.626428571428
68,72,60,142.79285714285714,19063.419285714284
69,0,72,77.75857142857143,19141.177857142855
