u,v,path_vertices,path_edges
89,90,"[89, 90]",89-90
61,62,"[61, 62]",61-62
27,28,"[27, 28]",27-28
66,67,"[66, 67]",66-67
91,92,"[91, 92]",91-92
87,74,"[87, 86, 89, 74]",87-86;86-89;89-74
5,26,"[5, 26]",5-26
40,41,"[40, 41]",40-41
9,6,"[9, 6]",9-6
81,83,"[81, 83]",81-83
76,77,"[76, 77]",76-77
58,59,"[58, 59]",58-59
95,1,"[95, 1]",95-1
8,30,"[8, 29, 30]",8-29;29-30
24,25,"[24, 25]",24-25
54,55,"[54, 53, 55]",54-53;53-55
13,4,"[13, 12, 10, 7, 4]",13-12;12-10;10-7;7-4
88,85,"[88, 85]",88-85
16,19,"[16, 17, 19]",16-17;17-19
60,68,"[60, 72, 0, 71, 70, 68]",60-72;72-0;0-71;71-70;70-68
