order,vertex
0,72
1,0
2,72
3,84
4,85
5,88
6,92
7,91
8,92
9,93
10,77
11,76
12,77
13,90
14,89
15,86
16,89
17,74
18,89
19,90
20,91
21,87
22,86
23,87
24,88
25,85
26,83
27,81
28,83
29,82
30,84
31,86
32,73
33,74
34,75
35,76
36,65
37,66
38,67
39,66
40,55
41,53
42,54
43,65
44,64
45,75
46,63
47,73
48,72
49,60
50,94
51,71
52,82
53,80
54,81
55,79
56,78
57,80
58,70
59,71
60,70
61,68
62,70
63,57
64,69
65,56
66,44
67,57
68,94
69,58
70,59
71,61
72,62
73,64
74,52
75,54
76,53
77,55
78,41
79,40
80,41
81,39
82,53
83,51
84,52
85,50
86,49
87,51
88,37
89,39
90,38
91,40
92,25
93,24
94,25
95,22
96,21
97,24
98,23
99,20
100,21
101,18
102,19
103,22
104,38
105,36
106,37
107,35
108,49
109,47
110,48
111,59
112,58
113,46
114,45
115,47
116,33
117,35
118,34
119,36
120,17
121,19
122,17
123,16
124,17
125,14
126,34
127,32
128,33
129,31
130,45
131,43
132,42
133,27
134,28
135,31
136,30
137,29
138,30
139,32
140,11
141,14
142,13
143,16
144,15
145,12
146,13
147,12
148,10
149,12
150,95
151,1
152,15
153,18
154,2
155,1
156,95
157,9
158,6
159,9
160,10
161,7
162,10
163,11
164,29
165,8
166,29
167,26
168,5
169,8
170,7
171,4
172,7
173,6
174,3
175,4
176,5
177,26
178,27
179,28
180,43
181,44
182,46
183,48
184,50
185,61
186,62
187,63
188,60
189,72
190,0
191,71
