order,u,v,weight,cumulative_cost
0,72,0,24.862,24.862
1,84,72,51.61,76.472
2,85,84,88.889,165.361
3,88,85,51.508,216.869
4,92,88,115.032,331.901
5,91,92,45.889,377.79
6,92,91,45.889,423.67900000000003
7,93,92,50.526,474.20500000000004
8,77,93,89.343,563.548
9,76,77,60.142,623.69
10,77,76,60.142,683.8320000000001
11,90,77,49.352,733.1840000000001
12,89,90,18.308,751.4920000000001
13,86,89,94.957,846.4490000000001
14,89,86,94.957,941.4060000000001
15,74,89,24.542,965.9480000000001
16,89,74,24.542,990.4900000000001
17,90,89,18.308,1008.7980000000001
18,91,90,40.911,1049.709
19,87,91,113.295,1163.0040000000001
20,86,87,37.337,1200.3410000000001
21,87,86,37.337,1237.678
22,88,87,50.018,1287.6960000000001
23,85,88,51.508,1339.2040000000002
24,83,85,62.002,1401.2060000000001
25,81,83,56.7,1457.9060000000002
26,83,81,56.7,1514.6060000000002
27,82,83,92.199,1606.8050000000003
28,84,82,62.802,1669.6070000000002
29,86,84,54.075,1723.6820000000002
30,73,86,43.587,1767.2690000000002
31,74,73,100.753,1868.0220000000002
32,75,74,50.926,1918.948
33,76,75,58.032,1976.98
34,65,76,114.484,2091.464
35,66,65,43.701,2135.165
36,67,66,32.642,2167.807
37,66,67,32.642,2200.4489999999996
38,55,66,94.021,2294.47
39,53,55,48.184,2342.654
40,54,53,62.359,2405.013
41,65,54,37.6,2442.613
42,64,65,68.616,2511.229
43,75,64,98.444,2609.673
44,63,75,110.244,2719.917
45,73,63,56.018,2775.935
46,72,73,55.367,2831.302
47,60,72,59.91,2891.212
48,94,60,69.639,2960.851
49,71,94,70.701,3031.552
50,82,71,55.436,3086.9880000000003
51,80,82,54.574,3141.5620000000004
52,81,80,93.878,3235.4400000000005
53,79,81,65.585,3301.0250000000005
54,78,79,96.785,3397.8100000000004
55,80,78,66.51,3464.3200000000006
56,70,80,54.267,3518.5870000000004
57,71,70,54.707,3573.2940000000003
58,70,71,54.707,3628.001
59,68,70,91.121,3719.1220000000003
60,70,68,91.121,3810.2430000000004
61,57,70,71.741,3881.9840000000004
62,69,57,51.508,3933.492
63,56,69,127.906,4061.398
64,44,56,55.841,4117.2390000000005
65,57,44,124.805,4242.044000000001
66,94,57,53.73,4295.774
67,58,94,63.694,4359.468000000001
68,59,58,62.42,4421.888000000001
69,61,59,57.912,4479.800000000001
70,62,61,21.892,4501.692000000001
71,64,62,101.107,4602.799000000001
72,52,64,47.767,4650.566000000001
73,54,52,73.409,4723.975
74,53,54,62.359,4786.334000000001
75,55,53,48.184,4834.518000000001
76,41,55,58.405,4892.923000000001
77,40,41,52.119,4945.042
78,41,40,52.119,4997.161
79,39,41,50.515,5047.676
80,53,39,58.536,5106.212
81,51,53,79.807,5186.019
82,52,51,62.277,5248.296
83,50,52,99.688,5347.984
84,49,50,54.507,5402.491
85,51,49,93.27,5495.761
86,37,51,58.584,5554.345
87,39,37,86.198,5640.543000000001
88,38,39,52.497,5693.040000000001
89,40,38,54.754,5747.794000000001
90,25,40,94.468,5842.262000000001
91,24,25,107.419,5949.6810000000005
92,25,24,107.419,6057.1
93,22,25,57.411,6114.511
94,21,22,111.014,6225.525000000001
95,24,21,57.491,6283.0160000000005
96,23,24,50.542,6333.558000000001
97,20,23,54.194,6387.752000000001
98,21,20,51.394,6439.146000000002
99,18,21,66.751,6505.897000000002
100,19,18,110.843,6616.740000000002
101,22,19,61.81,6678.550000000002
102,38,22,85.956,6764.506000000002
103,36,38,90.261,6854.767000000003
104,37,36,52.396,6907.163000000002
105,35,37,92.511,6999.674000000003
106,49,35,61.19,7060.864000000002
107,47,49,59.855,7120.719000000002
108,48,47,54.87,7175.589000000002
109,59,48,45.674,7221.263000000002
110,58,59,62.42,7283.683000000002
111,46,58,56.409,7340.0920000000015
112,45,46,50.728,7390.8200000000015
113,47,45,61.42,7452.240000000002
114,33,47,61.121,7513.361000000002
115,35,33,59.432,7572.7930000000015
116,34,35,54.125,7626.9180000000015
117,36,34,91.413,7718.331000000001
118,17,36,76.555,7794.886000000001
119,19,17,37.165,7832.051000000001
120,17,19,37.165,7869.216000000001
121,16,17,53.697,7922.913000000001
122,17,16,53.697,7976.6100000000015
123,14,17,86.456,8063.066000000002
124,34,14,63.458,8126.524000000001
125,32,34,56.874,8183.398000000001
126,33,32,54.115,8237.513
127,31,33,59.702,8297.215
128,45,31,61.264,8358.479
129,43,45,58.981,8417.46
